cdr_id,region_id,region_name,caller_number,callee_number,call_start,duration_seconds,call_type,bytes_transferred,network_type,rate_per_minute,charge_amount
R02-0000001,2,Capital-Metro,+1-532-473-8252,+1-590-411-8005,2026-06-01 04:29:43,644,VOICE,,5G,0.08,0.86
R02-0000002,2,Capital-Metro,+1-650-700-2021,+1-727-965-8862,2026-06-01 15:12:40,1302,VOICE,,3G,0.12,2.6
R02-0000003,2,Capital-Metro,+1-974-418-2247,,2026-06-01 23:34:35,3649,DATA,410235443,3G,0.0,4.1
R02-0000004,2,Capital-Metro,+1-706-992-4267,+1-623-539-4182,2026-06-01 11:06:49,861,VOICE,,3G,0.12,1.72
R02-0000005,2,Capital-Metro,+1-208-498-2952,+1-667-806-5987,2026-06-01 05:14:52,960,VOICE,,4G,0.1,1.6
R02-0000006,2,Capital-Metro,+1-601-825-7487,+1-354-838-8351,2026-06-01 06:34:34,0,SMS,,4G,0.0,0.05
R02-0000007,2,Capital-Metro,+1-781-328-1905,+1-894-465-0397,2026-06-01 08:40:35,2000,VOICE,,4G,0.1,3.33
R02-0000008,2,Capital-Metro,+1-824-722-1044,+1-944-601-6408,2026-06-01 04:18:13,0,SMS,,5G,0.0,0.05
R02-0000009,2,Capital-Metro,+1-377-771-4862,+1-879-822-2447,2026-06-01 16:20:31,911,VOICE,,4G,0.1,1.52
R02-0000010,2,Capital-Metro,+1-862-934-7555,+1-717-535-5196,2026-06-01 16:41:02,682,VOICE,,5G,0.08,0.91
R02-0000011,2,Capital-Metro,+1-339-969-6313,,2026-06-01 19:58:36,2310,DATA,266893315,5G,0.0,2.67
R02-0000012,2,Capital-Metro,+1-388-690-7456,,2026-06-01 23:36:52,1639,DATA,353659647,4G,0.0,3.54
R02-0000013,2,Capital-Metro,+1-427-502-7477,+1-348-649-8645,2026-06-01 19:51:15,0,SMS,,4G,0.0,0.05
R02-0000014,2,Capital-Metro,+1-379-507-3548,+1-775-725-4947,2026-06-01 21:48:35,1126,VOICE,,4G,0.1,1.88
R02-0000015,2,Capital-Metro,+1-353-745-7478,+1-963-366-4717,2026-06-01 17:29:46,0,SMS,,4G,0.0,0.05
R02-0000016,2,Capital-Metro,+1-250-653-9723,+1-669-515-7859,2026-06-01 13:56:56,0,SMS,,5G,0.0,0.05
R02-0000017,2,Capital-Metro,+1-292-690-4876,,2026-06-01 00:22:23,1704,DATA,269250069,4G,0.0,2.69
R02-0000018,2,Capital-Metro,+1-582-473-2312,+1-594-849-3016,2026-06-01 11:02:25,2790,VOICE,,3G,0.12,5.58
R02-0000019,2,Capital-Metro,+1-729-406-8732,+1-735-714-0322,2026-06-01 21:42:44,0,SMS,,5G,0.0,0.05
R02-0000020,2,Capital-Metro,+1-723-970-6255,,2026-06-01 08:00:58,878,DATA,203184743,4G,0.0,2.03
R02-0000021,2,Capital-Metro,+1-791-410-3463,,2026-06-01 11:20:45,709,DATA,470821762,4G,0.0,4.71
R02-0000022,2,Capital-Metro,+1-862-587-6380,,2026-06-01 11:16:10,6783,DATA,437906652,3G,0.0,4.38
R02-0000023,2,Capital-Metro,+1-301-296-2972,+1-592-660-8495,2026-06-01 14:39:29,2026,VOICE,,5G,0.08,2.7
R02-0000024,2,Capital-Metro,+1-821-297-0882,+1-719-616-6811,2026-06-01 10:05:43,1691,VOICE,,4G,0.1,2.82
R02-0000025,2,Capital-Metro,+1-940-761-3075,+1-543-325-3720,2026-06-01 15:59:32,0,SMS,,4G,0.0,0.05
R02-0000026,2,Capital-Metro,+1-934-219-4691,+1-621-935-8037,2026-06-01 19:43:32,0,SMS,,3G,0.0,0.05
R02-0000027,2,Capital-Metro,+1-785-614-5911,+1-989-953-3569,2026-06-01 16:29:33,0,SMS,,3G,0.0,0.05
R02-0000028,2,Capital-Metro,+1-284-407-3263,,2026-06-01 14:54:44,4072,DATA,146211707,3G,0.0,1.46
R02-0000029,2,Capital-Metro,+1-851-458-6089,+1-622-992-5792,2026-06-01 00:35:47,0,SMS,,4G,0.0,0.05
R02-0000030,2,Capital-Metro,+1-958-309-5426,+1-719-970-8155,2026-06-01 03:06:58,710,VOICE,,3G,0.12,1.42
R02-0000031,2,Capital-Metro,+1-740-566-0674,,2026-06-01 01:06:46,4528,DATA,273719330,4G,0.0,2.74
R02-0000032,2,Capital-Metro,+1-416-926-6729,,2026-06-01 12:04:30,4534,DATA,152699520,3G,0.0,1.53
R02-0000033,2,Capital-Metro,+1-912-824-9529,,2026-06-01 00:35:01,6516,DATA,247537457,3G,0.0,2.48
R02-0000034,2,Capital-Metro,+1-776-915-4175,,2026-06-01 22:35:24,778,DATA,149567980,4G,0.0,1.5
R02-0000035,2,Capital-Metro,+1-538-873-1204,+1-440-536-8535,2026-06-01 02:46:34,3335,VOICE,,4G,0.1,5.56
R02-0000036,2,Capital-Metro,+1-242-790-8364,,2026-06-01 13:46:22,561,DATA,191188854,3G,0.0,1.91
R02-0000037,2,Capital-Metro,+1-342-392-1570,+1-681-398-2593,2026-06-01 13:56:03,1760,VOICE,,4G,0.1,2.93
R02-0000038,2,Capital-Metro,+1-756-526-4656,+1-389-732-3032,2026-06-01 00:42:30,1776,VOICE,,3G,0.12,3.55
R02-0000039,2,Capital-Metro,+1-514-372-9816,+1-812-849-8701,2026-06-01 21:28:06,1281,VOICE,,4G,0.1,2.14
R02-0000040,2,Capital-Metro,+1-463-859-9223,+1-399-544-9993,2026-06-01 20:51:17,2481,VOICE,,4G,0.1,4.14
R02-0000041,2,Capital-Metro,+1-435-769-8604,+1-390-513-8342,2026-06-01 20:10:43,789,VOICE,,5G,0.08,1.05
R02-0000042,2,Capital-Metro,+1-269-351-8216,+1-328-973-0454,2026-06-01 11:07:08,953,VOICE,,4G,0.1,1.59
R02-0000043,2,Capital-Metro,+1-819-402-0796,+1-804-836-5617,2026-06-01 09:29:22,3006,VOICE,,5G,0.08,4.01
