vertex_id|name|category
0|Viktor Bernard|Theoretical-Physics
1|Greta Koch|Applied-Mathematics
2|Gabriella Fischer|Computer-Science
3|Natalia Meyer|Molecular-Biology
4|Andreas Wagner|Organic-Chemistry
5|Francesca Wolf|Electrical-Engineering
6|Antoine Koch|Mechanical-Engineering
7|Thierry Dahl|Civil-Engineering
8|Anton Madsen|Economics
9|Yves Larsson|Statistics
10|Helene Koch|Bioinformatics
11|Zara Weber|Materials-Science
12|Margot Petit|Environmental-Science
13|Simone Richter|Astrophysics
14|Greta Colombo|Neuroscience
15|Philippe Hoffmann|Pharmacology
16|Xavier Werner|Genetics
17|Ana Svensson|Quantum-Computing
18|Alexander Richter|Robotics
19|Tobias Moreau|Data-Science
20|Tobias Laurent|Machine-Learning
21|Marie Svensson|Signal-Processing
22|Xavier Richter|Thermodynamics
23|Ingrid Svensson|Fluid-Dynamics
24|Astrid Esposito|Structural-Engineering
25|Yves Esposito|Geophysics
26|Petra Russo|Oceanography
27|Lars Meier|Meteorology
28|Margot Larsson|Nanotechnology
29|Ursula Ferrari|Photonics
30|Yvonne Durand|Telecommunications
31|Bernard Schmitt|Control-Systems
32|Marie Russo|Biomedical-Engineering
33|Claudia Persson|Nuclear-Physics
34|Celine Zimmermann|Particle-Physics
35|Marie Marino|Plasma-Physics
36|Antoine Petit|Condensed-Matter
37|Francesca Holm|Mathematical-Logic
38|Fabien Jensen|Cryptography
39|Bernard Jensen|Operations-Research
40|Elisa Braun|Network-Science
41|Viktor Poulsen|Computational-Biology
42|Isabella Mueller|Theoretical-Physics
43|Margot Hahn|Applied-Mathematics
44|Renata Bernard|Computer-Science
45|Fabien Andersson|Molecular-Biology
46|Petra Krause|Organic-Chemistry
47|Celine Andersson|Electrical-Engineering
48|Helene Friedrich|Mechanical-Engineering
49|Antoine Friedrich|Civil-Engineering
50|Lars Schmidt|Economics
51|Beatrice Werner|Statistics
52|Mathieu Fischer|Bioinformatics
53|Elisa Poulsen|Materials-Science
54|Lena Friedrich|Environmental-Science
55|Werner Klein|Astrophysics
56|Ursula Frank|Neuroscience
57|Zara Ferrari|Pharmacology
58|Claudia Leroy|Genetics
59|Johann Dahl|Quantum-Computing
60|Marie Koch|Robotics
61|Beatrice Wagner|Data-Science
62|Lena Hansen|Machine-Learning
63|Leon Lindberg|Signal-Processing
64|Lukas Hansen|Thermodynamics
65|Christian Wolf|Fluid-Dynamics
66|Bruno Wagner|Structural-Engineering
67|Fabien Hahn|Geophysics
68|Celine Dubois|Oceanography
69|Leon Lange|Meteorology
70|Zara Marino|Nanotechnology
71|Hugo Mueller|Photonics
72|Otto Berg|Telecommunications
73|Claudia Hahn|Control-Systems
74|Ulrike Meier|Biomedical-Engineering
75|Zara Dubois|Nuclear-Physics
76|Margot Johansson|Particle-Physics
77|Valentin Russo|Plasma-Physics
78|Bernard Hahn|Condensed-Matter
79|Sabine Meyer|Mathematical-Logic
80|Hans Ferrari|Cryptography
81|Elisa Lehmann|Operations-Research
82|Natalia Lange|Network-Science
83|Valentin Persson|Computational-Biology
84|Rolf Olsson|Theoretical-Physics
85|Hugo Bernard|Applied-Mathematics
86|Carla Greco|Computer-Science
87|Elena Holm|Molecular-Biology
88|Ana Hartmann|Organic-Chemistry
89|Petra Johansson|Electrical-Engineering
90|Valentin Meier|Mechanical-Engineering
91|Margot Svensson|Civil-Engineering
92|Jacques Marino|Economics
93|Philippe Holm|Statistics
94|Francesca Rossi|Bioinformatics
95|Werner Bruno|Materials-Science
96|Felix Werner|Environmental-Science
97|Pascal Madsen|Astrophysics
98|Xavier Lange|Neuroscience
99|Anton Wagner|Pharmacology
100|Dirk Becker|Genetics
101|Simone Svensson|Quantum-Computing
102|Xavier Keller|Robotics
103|Lukas Nilsson|Data-Science
104|Christian Poulsen|Machine-Learning
105|Elena Thomsen|Signal-Processing
106|Ingrid Becker|Thermodynamics
107|Lars Rossi|Fluid-Dynamics
108|Tobias Svensson|Structural-Engineering
109|Antoine Schmitt|Geophysics
110|Xavier Lindberg|Oceanography
111|Ulrike Karlsson|Meteorology
112|Philippe Colombo|Nanotechnology
113|Greta Larsson|Photonics
114|Bruno Lange|Telecommunications
115|Lena Meier|Control-Systems
116|Christian Petit|Biomedical-Engineering
