vertex_id|name|category
0|Carlos Chung|Postdoc
1|Elena Maslov|Researcher
2|Anna Karlsson|Researcher
3|Zhao Fortunato|Researcher
4|Robert Lund|Researcher
5|Daniel Lund|Researcher
6|Oliver Onnela|Researcher
7|Helena Krapivsky|Researcher
8|Lorenzo Berg|Postdoc
9|Hiroshi Leicht|Senior-Researcher
10|Albert Stanley|Researcher
11|Javier Lancichinetti|Researcher
12|Julia Hansen|Senior-Researcher
13|Emilio Stanley|Researcher
14|Christoph Lai|Researcher
15|Diana Radicchi|Researcher
16|Elena Kim|Postdoc
17|Eva Wang|Postdoc
18|Luca Bollobas|Postdoc
20|Zhao Barrat|Postdoc
21|Petra Mendes|Postdoc
22|Laura Liu|Postdoc
23|Lei Riordan|Postdoc
24|Nadia Park|Senior-Researcher
25|Katya Radicchi|Senior-Researcher
27|Thomas Jensen|Postdoc
28|Robert Aiello|Postdoc
29|Erik Poulsen|Postdoc
30|Oscar Zhou|Principal-Investigator
31|Wei Motter|Postdoc
32|Emilio Arenas|Postdoc
33|Eva Bianconi|Principal-Investigator
34|Peter Strogatz|Principal-Investigator
35|Andrea Wang|Senior-Researcher
36|Gregor Song|Senior-Researcher
37|Elena Mendes|Senior-Researcher
38|Nina Wang|Senior-Researcher
39|Raj Bianconi|Senior-Researcher
40|Beth Sole|Senior-Researcher
42|Thomas Fortunato|Postdoc
43|Giulia Newman|Postdoc
44|Mikhail Motter|Postdoc
45|Stefan Barthelemy|Senior-Researcher
46|Olga Kaski|Principal-Investigator
47|Olga Amaral|Researcher
48|Giovanni Krioukov|Senior-Researcher
49|Emilio Kaski|Researcher
50|Anna Redner|Researcher
51|Yasmin Porter|Senior-Researcher
52|Hiroshi Dahl|Researcher
53|Lucia Havlin|Principal-Investigator
54|Oscar Moore|Principal-Investigator
55|Marco Farkas|Senior-Researcher
56|Raj Serrano|Senior-Researcher
57|Michael Poulsen|Researcher
58|Christoph Guimera|Postdoc
59|Karl Kim|Postdoc
60|Mei Muller|Postdoc
61|Anna Yan|Postdoc
